epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0064,1.98754,16.9292,1.08106,0.33002,0.62963,0.27401,0.11152,1.93901,1.84522,1.21838,0.000663265,0.000663265,0.000663265
2,76.1178,1.84475,2.05797,1.06348,0.75769,0.54321,0.6664,0.30499,1.87085,1.68814,1.14348,0.00131677,0.00131677,0.00131677
3,112.122,1.94382,1.91526,1.0836,0.73382,0.64198,0.69834,0.33136,1.75629,1.67025,1.08833,0.00195707,0.00195707,0.00195707
4,148.262,1.82448,1.66888,1.07077,0.82344,0.69094,0.80305,0.37921,1.73128,1.27532,1.0712,0.0019406,0.0019406,0.0019406
5,184.291,1.82536,1.75095,1.06154,0.82139,0.61728,0.7128,0.35969,1.79763,1.39528,1.10627,0.0019208,0.0019208,0.0019208
6,220.212,1.77396,1.45524,1.05026,0.80686,0.7037,0.72855,0.33539,1.76595,1.33306,1.07272,0.001901,0.001901,0.001901
7,256.257,1.72547,1.38682,1.01857,0.91995,0.76543,0.88208,0.43743,1.72185,1.16899,1.04966,0.0018812,0.0018812,0.0018812
8,293.483,1.69265,1.231,1.01146,0.90221,0.66667,0.75343,0.41691,1.68116,1.35586,1.06897,0.0018614,0.0018614,0.0018614
9,329.826,1.73072,1.26483,1.01035,0.86045,0.71605,0.8224,0.40586,1.68678,1.16174,1.04544,0.0018416,0.0018416,0.0018416
10,367.194,1.7452,1.28837,1.03767,0.92249,0.73474,0.87042,0.50697,1.533,1.2352,1.02398,0.0018218,0.0018218,0.0018218
11,404.03,1.55696,1.18399,0.97379,0.85817,0.76543,0.84474,0.44999,1.69098,1.15553,1.06142,0.001802,0.001802,0.001802
12,441.168,1.67018,1.33141,1.00281,0.89069,0.85185,0.88048,0.45429,1.62003,1.15641,1.05051,0.0017822,0.0017822,0.0017822
13,477.951,1.53195,1.13924,0.96803,0.88479,0.83951,0.88839,0.50383,1.52564,0.99737,1.03451,0.0017624,0.0017624,0.0017624
14,514.91,1.55453,1.08376,0.97165,0.92063,0.85928,0.9302,0.46873,1.66944,0.97996,1.03652,0.0017426,0.0017426,0.0017426
15,551.706,1.61675,1.05582,0.99099,0.91292,0.87654,0.92567,0.47797,1.63857,0.95311,1.04777,0.0017228,0.0017228,0.0017228
16,588.622,1.56775,1.0059,0.97846,0.96063,0.82716,0.91699,0.49748,1.56349,0.89945,1.03654,0.001703,0.001703,0.001703
17,625.775,1.57472,0.97467,0.96697,0.91219,0.85185,0.90302,0.47115,1.63985,1.01974,1.0358,0.0016832,0.0016832,0.0016832
18,662.621,1.53674,0.95872,0.96191,0.84299,0.82716,0.89407,0.49773,1.62715,1.05345,1.03128,0.0016634,0.0016634,0.0016634
19,700.035,1.54175,0.97215,0.97886,0.95806,0.8461,0.90906,0.50826,1.56265,0.9435,1.04709,0.0016436,0.0016436,0.0016436
20,736.801,1.57379,0.97206,0.96873,0.93268,0.85519,0.90213,0.47231,1.64225,0.94258,1.05976,0.0016238,0.0016238,0.0016238
21,773.906,1.46979,0.93829,0.96263,0.92837,0.80007,0.91535,0.51962,1.50971,0.90936,1.01316,0.001604,0.001604,0.001604
22,810.818,1.53919,0.96242,0.94913,0.8422,0.88889,0.90922,0.50147,1.55636,1.09057,1.02054,0.0015842,0.0015842,0.0015842
23,847.915,1.50231,0.96831,0.95519,0.87941,0.80247,0.85777,0.47413,1.64015,1.07716,1.04065,0.0015644,0.0015644,0.0015644
24,885.013,1.47216,0.9315,0.94086,0.91441,0.82716,0.88984,0.51889,1.55111,1.00715,1.03296,0.0015446,0.0015446,0.0015446
25,922.321,1.44253,0.88798,0.93909,0.91631,0.82716,0.91601,0.51742,1.51619,1.00168,1.01065,0.0015248,0.0015248,0.0015248
26,959.531,1.4429,0.89737,0.95649,0.96385,0.8642,0.91574,0.50029,1.54896,0.92111,1.03601,0.001505,0.001505,0.001505
27,996.397,1.5104,0.90123,0.95085,0.9537,0.87654,0.92753,0.50974,1.59245,0.98694,1.03143,0.0014852,0.0014852,0.0014852
28,1033.62,1.45385,0.91291,0.95714,0.94998,0.82716,0.91248,0.4942,1.5381,0.97497,1.01215,0.0014654,0.0014654,0.0014654
29,1070.28,1.47459,0.9128,0.94877,0.9431,0.85185,0.92043,0.4982,1.55915,0.88727,1.03646,0.0014456,0.0014456,0.0014456
30,1107.45,1.4217,0.8779,0.94477,0.94128,0.90123,0.94195,0.51898,1.56911,0.89387,1.03248,0.0014258,0.0014258,0.0014258
31,1144.41,1.44745,0.82982,0.94341,0.92602,0.81481,0.89615,0.5079,1.58792,1.1477,1.03792,0.001406,0.001406,0.001406
32,1181.59,1.40053,0.87245,0.93083,0.95925,0.88889,0.92578,0.50745,1.53936,0.93313,1.02026,0.0013862,0.0013862,0.0013862
33,1218.32,1.37772,0.79781,0.9213,0.94263,0.87654,0.91691,0.50481,1.51441,1.02188,1.00878,0.0013664,0.0013664,0.0013664
34,1255.44,1.37809,0.77989,0.9293,0.94926,0.81481,0.87057,0.47592,1.60247,0.93979,1.03643,0.0013466,0.0013466,0.0013466
35,1292.58,1.41097,0.83042,0.94564,0.94543,0.85557,0.92717,0.52982,1.53691,0.89179,1.03784,0.0013268,0.0013268,0.0013268
36,1329.67,1.42193,0.82033,0.93187,0.9227,0.88889,0.91937,0.52516,1.53725,0.86384,1.0435,0.001307,0.001307,0.001307
37,1366.53,1.41241,0.82646,0.93443,0.91721,0.85185,0.92234,0.53774,1.47955,0.92386,1.00071,0.0012872,0.0012872,0.0012872
38,1403.29,1.36867,0.79045,0.93416,0.98589,0.86246,0.92554,0.54239,1.52892,0.8337,1.03645,0.0012674,0.0012674,0.0012674
39,1440.99,1.39181,0.77179,0.92316,0.94604,0.86589,0.90924,0.52988,1.53665,0.89996,1.02771,0.0012476,0.0012476,0.0012476
40,1477.71,1.39212,0.80748,0.93354,0.9811,0.88889,0.92328,0.53569,1.48005,0.88733,1.00642,0.0012278,0.0012278,0.0012278
41,1514.96,1.36163,0.73772,0.92179,0.98296,0.83951,0.92106,0.52621,1.51717,0.99804,1.00837,0.001208,0.001208,0.001208
42,1551.96,1.37879,0.76972,0.92937,0.98137,0.85185,0.91693,0.53601,1.54658,0.89623,1.03529,0.0011882,0.0011882,0.0011882
43,1588.69,1.37137,0.8145,0.93078,0.94535,0.87654,0.92891,0.53768,1.56458,0.81979,1.03007,0.0011684,0.0011684,0.0011684
44,1625.77,1.32181,0.76059,0.90636,0.95413,0.87654,0.92617,0.50026,1.57918,0.96468,1.03449,0.0011486,0.0011486,0.0011486
45,1662.79,1.37208,0.74913,0.91291,0.92516,0.91577,0.92098,0.53774,1.56569,0.89775,1.05108,0.0011288,0.0011288,0.0011288
46,1699.83,1.31531,0.69715,0.91521,0.91137,0.88889,0.92853,0.52145,1.55107,0.84172,1.03159,0.001109,0.001109,0.001109
47,1736.33,1.38265,0.77308,0.93016,0.94781,0.90123,0.93816,0.51985,1.52813,0.81071,1.01328,0.0010892,0.0010892,0.0010892
48,1773.29,1.34563,0.7128,0.90636,0.95647,0.88889,0.94108,0.55871,1.45696,0.85318,1.01417,0.0010694,0.0010694,0.0010694
49,1810.22,1.30103,0.6962,0.90751,0.97294,0.88779,0.93628,0.52716,1.47824,0.85449,1.01444,0.0010496,0.0010496,0.0010496
50,1847.54,1.28608,0.71586,0.91267,0.97075,0.81954,0.90753,0.51574,1.53516,0.89728,1.01148,0.0010298,0.0010298,0.0010298
51,1884.25,1.32609,0.69834,0.91655,0.94521,0.92593,0.93253,0.54003,1.48619,0.81492,1.02121,0.00101,0.00101,0.00101
52,1920.95,1.29668,0.70077,0.91103,0.98909,0.82716,0.89496,0.51505,1.48489,0.87845,1.02048,0.0009902,0.0009902,0.0009902
53,1957.39,1.29948,0.69445,0.90967,0.97316,0.89516,0.92408,0.55322,1.48571,0.89517,1.01943,0.0009704,0.0009704,0.0009704
54,1994.61,1.31718,0.68411,0.92135,0.98534,0.83003,0.92061,0.54901,1.47412,0.87972,1.02729,0.0009506,0.0009506,0.0009506
55,2031.59,1.27734,0.67977,0.89395,0.97577,0.85185,0.92385,0.53556,1.53391,0.89058,1.03271,0.0009308,0.0009308,0.0009308
56,2068.08,1.30829,0.6762,0.90183,0.97839,0.88889,0.94087,0.55051,1.49661,0.86656,1.02657,0.000911,0.000911,0.000911
57,2104.97,1.28773,0.65674,0.90329,0.98099,0.85185,0.92288,0.55441,1.47706,0.88017,1.01817,0.0008912,0.0008912,0.0008912
58,2142.13,1.28048,0.62822,0.90125,0.94726,0.887,0.9202,0.55393,1.46358,0.89835,1.00241,0.0008714,0.0008714,0.0008714
59,2179.28,1.23814,0.62486,0.89815,0.95252,0.82716,0.91594,0.54623,1.52985,0.86665,1.01891,0.0008516,0.0008516,0.0008516
60,2216.43,1.2246,0.62086,0.90443,0.92867,0.90123,0.94818,0.55064,1.49176,0.836,1.01116,0.0008318,0.0008318,0.0008318
61,2253.64,1.23136,0.62129,0.8913,0.96571,0.8642,0.93677,0.54399,1.53046,0.87935,1.03446,0.000812,0.000812,0.000812
62,2290.06,1.26906,0.64049,0.89489,0.96681,0.88889,0.95723,0.56413,1.41287,0.83896,0.99529,0.0007922,0.0007922,0.0007922
63,2326.83,1.25011,0.64213,0.88375,0.97058,0.91358,0.93479,0.54224,1.46498,0.82663,1.01759,0.0007724,0.0007724,0.0007724
64,2363.74,1.19617,0.59211,0.88459,0.94574,0.90123,0.92722,0.54798,1.42709,0.89079,1.00238,0.0007526,0.0007526,0.0007526
65,2400.36,1.24582,0.62909,0.89577,0.94445,0.83958,0.91563,0.52665,1.46681,0.92425,1.01082,0.0007328,0.0007328,0.0007328
66,2437.83,1.23654,0.62073,0.89781,0.9609,0.9102,0.9283,0.53295,1.44426,0.82327,1.01844,0.000713,0.000713,0.000713
67,2474.32,1.185,0.56827,0.88843,0.96094,0.91124,0.9541,0.56533,1.44848,0.89334,1.01904,0.0006932,0.0006932,0.0006932
68,2511.07,1.1875,0.58622,0.89587,0.9486,0.91358,0.9439,0.55081,1.47696,0.87435,1.01724,0.0006734,0.0006734,0.0006734
69,2547.68,1.22717,0.60296,0.87719,0.97274,0.88128,0.94089,0.55445,1.47122,0.88476,1.01841,0.0006536,0.0006536,0.0006536
70,2584.88,1.18196,0.56176,0.87163,0.95697,0.88889,0.92355,0.55698,1.4523,0.8316,1.021,0.0006338,0.0006338,0.0006338
71,2621.14,1.17053,0.57726,0.86938,0.97238,0.88889,0.91949,0.54253,1.47609,0.8863,1.02415,0.000614,0.000614,0.000614
72,2658.59,1.21338,0.58013,0.8831,0.94747,0.91358,0.94584,0.56424,1.47368,0.84947,1.02185,0.0005942,0.0005942,0.0005942
73,2695.29,1.15907,0.57807,0.88061,0.94778,0.91358,0.947,0.55012,1.51166,0.79736,1.03021,0.0005744,0.0005744,0.0005744
74,2731.78,1.18569,0.58725,0.86982,0.98078,0.91358,0.93883,0.57376,1.50876,0.76399,1.02364,0.0005546,0.0005546,0.0005546
75,2768.84,1.1828,0.5928,0.87368,0.9464,0.87205,0.93301,0.55635,1.47765,0.80572,1.03338,0.0005348,0.0005348,0.0005348
76,2805.59,1.17996,0.59529,0.87447,0.94548,0.88889,0.93675,0.56815,1.4773,0.80528,1.02626,0.000515,0.000515,0.000515
77,2842.69,1.11724,0.59227,0.8631,0.99607,0.85185,0.93221,0.54751,1.45832,0.80343,1.01206,0.0004952,0.0004952,0.0004952
78,2879.46,1.12164,0.55302,0.87445,0.96331,0.87654,0.95168,0.55944,1.46538,0.78808,1.02642,0.0004754,0.0004754,0.0004754
79,2916.63,1.13127,0.54311,0.86985,0.95437,0.91358,0.93136,0.5389,1.48022,0.75448,1.03459,0.0004556,0.0004556,0.0004556
80,2953.49,1.12903,0.53284,0.86813,0.98334,0.8642,0.92345,0.53045,1.49817,0.8128,1.03325,0.0004358,0.0004358,0.0004358
81,2990.67,1.13823,0.55292,0.87602,0.9827,0.85185,0.91239,0.54007,1.474,0.95957,1.02581,0.000416,0.000416,0.000416
82,3026.98,1.14562,0.56219,0.87121,0.95636,0.88889,0.92323,0.53881,1.49394,0.82126,1.03353,0.0003962,0.0003962,0.0003962
83,3063.96,1.14047,0.58914,0.86046,0.98591,0.86415,0.92416,0.54556,1.49519,0.87809,1.02546,0.0003764,0.0003764,0.0003764
84,3100.93,1.09227,0.51875,0.87136,0.97994,0.88889,0.93421,0.53217,1.51873,0.81372,1.03875,0.0003566,0.0003566,0.0003566
85,3137.9,1.10592,0.52328,0.86071,0.95742,0.92593,0.93967,0.5526,1.51216,0.80893,1.03234,0.0003368,0.0003368,0.0003368
86,3175.16,1.08273,0.5055,0.86048,0.98627,0.88658,0.93966,0.57197,1.48022,0.80433,1.03594,0.000317,0.000317,0.000317
87,3211.79,1.10681,0.50352,0.85493,0.97665,0.87654,0.93283,0.54717,1.50595,0.84745,1.02865,0.0002972,0.0002972,0.0002972
88,3248.77,1.13631,0.51721,0.8767,0.97289,0.88619,0.92668,0.56426,1.47742,0.91548,1.02356,0.0002774,0.0002774,0.0002774
89,3285.69,1.08305,0.5084,0.86597,0.96047,0.89997,0.93758,0.56361,1.48816,0.8573,1.03904,0.0002576,0.0002576,0.0002576
90,3322.62,1.09145,0.50117,0.85556,0.95746,0.87654,0.93788,0.55024,1.50467,0.86253,1.03859,0.0002378,0.0002378,0.0002378
91,3375.9,1.08162,0.49424,0.88234,0.98359,0.87654,0.92675,0.53559,1.51566,0.92672,1.04748,0.000218,0.000218,0.000218
92,3411.71,1.02761,0.47999,0.87111,0.98626,0.8862,0.934,0.55623,1.50492,0.87496,1.04353,0.0001982,0.0001982,0.0001982
93,3447.93,1.07046,0.47496,0.86612,0.97252,0.87371,0.92926,0.54385,1.49049,0.85884,1.04902,0.0001784,0.0001784,0.0001784
94,3484.85,1.02811,0.46234,0.87207,0.98334,0.85185,0.93298,0.55094,1.50733,0.87141,1.03822,0.0001586,0.0001586,0.0001586
95,3521.53,1.02468,0.47077,0.86827,0.98024,0.87654,0.93644,0.55235,1.50135,0.86473,1.03983,0.0001388,0.0001388,0.0001388
96,3558.06,1.05815,0.48589,0.86972,0.94728,0.88733,0.93776,0.54881,1.49165,0.84061,1.05047,0.000119,0.000119,0.000119
97,3594.05,1.05365,0.48835,0.86583,0.98646,0.89934,0.94085,0.55174,1.47951,0.83556,1.03993,9.92e-05,9.92e-05,9.92e-05
98,3630.86,1.02599,0.47122,0.8604,0.94594,0.91358,0.93916,0.54834,1.50225,0.83127,1.0535,7.94e-05,7.94e-05,7.94e-05
99,3667.72,1.0207,0.46216,0.86242,0.9326,0.92593,0.93783,0.55362,1.48038,0.83383,1.04625,5.96e-05,5.96e-05,5.96e-05
100,3703.77,1.02664,0.48323,0.86477,0.94916,0.92198,0.93795,0.55367,1.48141,0.82436,1.04986,3.98e-05,3.98e-05,3.98e-05
