epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99528,1.73956,3.18145,2.0766,0.00294,0.88189,0.45456,0.16197,2.0449,3.57027,2.26768,0.00062,0.00062,0.00062
2,10.9853,1.069,1.90034,1.60616,0.51658,0.73228,0.64447,0.34524,1.47495,2.76639,2.37325,0.00124753,0.00124753,0.00124753
3,15.9016,0.98987,1.66856,1.49768,0.8984,0.76591,0.85848,0.56817,1.30256,2.06061,2.11298,0.00186238,0.00186238,0.00186238
4,20.7335,0.95412,1.51483,1.49482,0.70134,0.70266,0.77236,0.39988,1.731,1.90483,2.34853,0.0019406,0.0019406,0.0019406
5,25.5975,0.79262,1.29387,1.37763,0.85624,0.6378,0.81314,0.46535,1.66103,1.52806,2.29218,0.0019208,0.0019208,0.0019208
6,30.6087,0.75711,1.13239,1.31052,0.80101,0.64567,0.74561,0.46287,1.49656,1.51958,1.94981,0.001901,0.001901,0.001901
7,35.6043,0.73642,0.9929,1.30588,0.77724,0.6063,0.69223,0.42005,1.48738,1.60793,2.18632,0.0018812,0.0018812,0.0018812
8,40.6994,0.75098,0.90991,1.30616,0.9418,0.70866,0.89309,0.64213,1.14016,1.02464,1.54451,0.0018614,0.0018614,0.0018614
9,45.7016,0.64023,0.79611,1.20697,0.73236,0.81875,0.86595,0.6256,1.15071,1.10508,1.53618,0.0018416,0.0018416,0.0018416
10,50.9014,0.6066,0.7258,1.2057,0.84026,0.91122,0.94694,0.7021,1.09891,0.90835,1.52461,0.0018218,0.0018218,0.0018218
11,56.1504,0.59565,0.67422,1.17659,0.89737,0.89504,0.94522,0.66268,1.18247,0.8704,1.53634,0.001802,0.001802,0.001802
12,61.4177,0.54921,0.61817,1.14184,0.91675,0.77165,0.91262,0.65599,1.13947,0.9574,1.49563,0.0017822,0.0017822,0.0017822
13,66.638,0.56526,0.60682,1.15366,0.9186,0.88976,0.92069,0.66059,1.18204,0.79703,1.59691,0.0017624,0.0017624,0.0017624
14,71.9588,0.49726,0.52725,1.09735,0.8219,0.75591,0.87532,0.60413,1.17787,1.1696,1.54875,0.0017426,0.0017426,0.0017426
15,77.3493,0.49903,0.51273,1.08598,0.83246,0.82162,0.91506,0.68213,1.13644,0.94874,1.4931,0.0017228,0.0017228,0.0017228
16,82.8503,0.50228,0.49079,1.09401,0.85222,0.72441,0.86604,0.56309,1.3625,1.28901,1.72557,0.001703,0.001703,0.001703
17,88.5665,0.45635,0.49166,1.08856,0.87904,0.80112,0.92903,0.67363,1.09086,0.80537,1.51256,0.0016832,0.0016832,0.0016832
18,94.3307,0.40185,0.4169,1.03198,0.93421,0.78275,0.91947,0.65857,1.08426,0.84799,1.4599,0.0016634,0.0016634,0.0016634
19,100.019,0.3809,0.41957,1.02513,0.89949,0.92126,0.96152,0.71677,1.10577,0.69299,1.55234,0.0016436,0.0016436,0.0016436
20,105.853,0.37324,0.37634,1.00775,0.93438,0.79528,0.92572,0.67354,1.13316,0.82049,1.54778,0.0016238,0.0016238,0.0016238
21,111.616,0.37946,0.36492,1.01142,0.92972,0.86614,0.93993,0.69261,1.10414,0.7165,1.56285,0.001604,0.001604,0.001604
22,117.411,0.36705,0.35313,1.02459,0.88119,0.89764,0.94711,0.71804,1.04978,0.71083,1.45103,0.0015842,0.0015842,0.0015842
23,123.191,0.34014,0.32698,0.98396,0.91813,0.88298,0.95833,0.69728,1.09439,0.72408,1.53267,0.0015644,0.0015644,0.0015644
24,129.094,0.33952,0.32127,0.99035,0.90384,0.84252,0.95026,0.71263,1.01199,0.74619,1.40765,0.0015446,0.0015446,0.0015446
25,135.071,0.30382,0.28772,0.97427,0.93315,0.87934,0.93889,0.68676,1.11349,0.70748,1.54604,0.0015248,0.0015248,0.0015248
26,141.133,0.41514,0.34583,1.07978,0.91728,0.84252,0.92453,0.6288,1.24676,0.78585,1.7436,0.001505,0.001505,0.001505
