epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11073,1.64564,3.05728,2.07418,0.8824,0.47267,0.7752,0.47723,1.29412,2.78033,1.79328,0.00062,0.00062,0.00062
2,12.5394,0.96801,1.70396,1.54786,0.8141,0.44829,0.61238,0.34202,1.91075,3.09648,2.45717,0.00124753,0.00124753,0.00124753
3,19.2631,0.8527,1.4343,1.40399,0.92405,0.80315,0.91362,0.61424,1.25386,1.52914,1.68538,0.00186238,0.00186238,0.00186238
4,24.6979,0.78742,1.27625,1.32761,0.88325,0.77439,0.87488,0.63335,1.1031,1.35702,1.46176,0.0019406,0.0019406,0.0019406
5,30.3354,0.73616,1.12643,1.30296,0.87356,0.85039,0.92308,0.65845,1.09312,1.22786,1.55986,0.0019208,0.0019208,0.0019208
6,37.5854,0.63423,0.94915,1.20594,0.88595,0.73404,0.83559,0.58187,1.19745,1.54346,1.58728,0.001901,0.001901,0.001901
7,43.6506,0.61435,0.86358,1.18707,0.92893,0.92622,0.97287,0.71938,0.99279,0.92254,1.41641,0.0018812,0.0018812,0.0018812
8,51.3706,0.55983,0.79111,1.1782,0.93116,0.95856,0.96251,0.70817,1.05972,0.88881,1.41833,0.0018614,0.0018614,0.0018614
9,57.4804,0.52522,0.67596,1.11689,0.91801,0.88168,0.92511,0.65376,1.0741,1.07358,1.42447,0.0018416,0.0018416,0.0018416
10,64.8523,0.4869,0.59444,1.08805,0.94065,0.93701,0.95859,0.7459,0.96851,1.01093,1.4167,0.0018218,0.0018218,0.0018218
11,71.3905,0.47558,0.55784,1.06991,0.96691,0.92042,0.9551,0.71247,1.00436,0.77952,1.40386,0.001802,0.001802,0.001802
12,78.7365,0.43293,0.50036,1.05155,0.96037,0.954,0.97296,0.7555,0.92313,0.66283,1.29345,0.0017822,0.0017822,0.0017822
13,85.2154,0.41903,0.46877,1.03673,0.96678,0.93701,0.96937,0.766,0.87519,0.64137,1.25017,0.0017624,0.0017624,0.0017624
14,92.7102,0.39348,0.41219,1.02514,0.93151,0.96392,0.98113,0.75048,0.91437,0.61111,1.30367,0.0017426,0.0017426,0.0017426
15,99.7102,0.35544,0.3894,0.99634,0.98122,0.90551,0.9724,0.77159,0.94855,0.6399,1.30572,0.0017228,0.0017228,0.0017228
16,107.073,0.36743,0.38858,0.99736,0.96646,0.9075,0.96933,0.75805,0.93651,0.73052,1.31886,0.001703,0.001703,0.001703
17,114.511,0.33018,0.61009,0.95622,0.98742,0.92913,0.97435,0.76751,0.93635,0.59448,1.30288,0.0016832,0.0016832,0.0016832
18,122.114,0.3163,0.36386,0.96371,0.9813,0.93701,0.98584,0.77788,0.91906,0.57588,1.31398,0.0016634,0.0016634,0.0016634
19,130.498,0.29017,0.3269,0.9583,0.94813,0.92913,0.97642,0.77104,0.91882,0.65008,1.35385,0.0016436,0.0016436,0.0016436
20,140.171,0.27677,0.30355,0.94629,0.99769,0.88189,0.97276,0.77586,0.91205,0.60073,1.30291,0.0016238,0.0016238,0.0016238
21,150.534,0.26652,0.29485,0.93408,0.95964,0.93602,0.98081,0.77767,0.90177,0.61377,1.30007,0.001604,0.001604,0.001604
22,159.682,0.25216,0.26879,0.93003,0.99168,0.93815,0.98197,0.77453,0.90961,0.5677,1.28425,0.0015842,0.0015842,0.0015842
23,167.703,0.24054,0.2539,0.91651,0.97576,0.95078,0.98546,0.78206,0.87694,0.55503,1.26023,0.0015644,0.0015644,0.0015644
24,179.208,0.21894,0.23785,0.91896,0.95301,0.9685,0.98504,0.77558,0.86912,0.54341,1.25592,0.0015446,0.0015446,0.0015446
25,188.21,0.20613,0.21824,0.90562,0.96576,0.95276,0.98183,0.80063,0.85678,0.54577,1.26529,0.0015248,0.0015248,0.0015248
26,199.898,0.20245,0.20912,0.90505,0.96255,0.92126,0.98405,0.79081,0.84721,0.54574,1.25246,0.001505,0.001505,0.001505
27,209.942,0.19318,0.20463,0.89628,0.99172,0.94332,0.99045,0.81182,0.81851,0.49256,1.22512,0.0014852,0.0014852,0.0014852
28,219.201,0.19986,0.20078,0.90628,0.972,0.92126,0.97983,0.76782,0.93196,0.57949,1.35904,0.0014654,0.0014654,0.0014654
