epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.35187,1.48074,2.82464,1.89592,0.76236,0.37891,0.74788,0.44053,0.90905,2.75794,1.19636,0.00062,0.00062,0.00062
2,11.641,0.69348,1.43092,1.27794,0.97552,0.94153,0.98979,0.74064,0.97752,1.71878,1.27473,0.00124753,0.00124753,0.00124753
3,16.8155,0.67009,1.24558,1.26724,0.34195,0.54331,0.35248,0.10943,2.19061,4.29852,2.23182,0.00186238,0.00186238,0.00186238
4,21.9529,0.6499,1.10048,1.22862,0.7404,0.74016,0.7747,0.54668,1.17174,2.00587,1.77246,0.0019406,0.0019406,0.0019406
5,27.3075,0.59406,0.97336,1.16131,0.86281,0.92126,0.96907,0.82821,0.69148,1.33878,1.07952,0.0019208,0.0019208,0.0019208
6,32.7757,0.55254,0.85877,1.13574,0.97204,0.9685,0.99145,0.79032,0.83936,0.77583,1.12154,0.001901,0.001901,0.001901
7,38.234,0.49515,0.73245,1.08159,1,0.95924,0.99424,0.78994,0.76856,0.85863,1.02723,0.0018812,0.0018812,0.0018812
8,43.7903,0.4802,0.64908,1.08964,0.97359,0.99213,0.99344,0.82936,0.70289,0.74186,0.99101,0.0018614,0.0018614,0.0018614
9,49.3979,0.44383,0.56143,1.04538,0.99977,1,0.995,0.89944,0.52348,0.52431,0.87905,0.0018416,0.0018416,0.0018416
10,55.3209,0.41407,0.51438,1.02323,0.98445,0.99692,0.99469,0.86812,0.59199,0.52413,0.91903,0.0018218,0.0018218,0.0018218
11,61.7275,0.42376,0.48644,1.01787,0.99211,0.99011,0.99484,0.88046,0.57514,0.56319,0.89062,0.001802,0.001802,0.001802
12,68.1587,0.37714,0.42309,0.98911,0.99088,0.97638,0.99423,0.85371,0.62106,0.50892,0.92731,0.0017822,0.0017822,0.0017822
13,74.5319,0.37978,0.41302,1.00691,0.98536,0.99213,0.99476,0.8796,0.50969,0.50027,0.82632,0.0017624,0.0017624,0.0017624
14,81.0038,0.32769,0.3739,0.96809,0.99862,0.98425,0.99484,0.89281,0.53559,0.39648,0.83336,0.0017426,0.0017426,0.0017426
15,87.2815,0.29518,0.33509,0.94486,0.99814,1,0.995,0.87905,0.54163,0.43383,0.88833,0.0017228,0.0017228,0.0017228
16,93.6731,0.29061,0.32529,0.93723,0.99857,1,0.995,0.8776,0.55803,0.40518,0.87783,0.001703,0.001703,0.001703
17,100.083,0.27406,0.3004,0.9285,1,0.99946,0.995,0.90644,0.48699,0.36797,0.83278,0.0016832,0.0016832,0.0016832
18,106.749,0.2744,0.29241,0.92803,0.9997,1,0.995,0.89183,0.53891,0.36376,0.87644,0.0016634,0.0016634,0.0016634
19,113.259,0.27616,0.28917,0.92937,0.99813,0.99213,0.995,0.89637,0.50467,0.3565,0.82578,0.0016436,0.0016436,0.0016436
20,119.868,0.2963,0.29888,0.93929,0.99914,1,0.995,0.90931,0.50688,0.37904,0.85272,0.0016238,0.0016238,0.0016238
21,126.566,0.24279,0.27408,0.9099,0.99912,1,0.995,0.90553,0.49772,0.36427,0.83072,0.001604,0.001604,0.001604
22,133.209,0.22395,0.2475,0.90496,0.99817,1,0.995,0.91182,0.49335,0.38356,0.82647,0.0015842,0.0015842,0.0015842
23,140.121,0.21176,0.24153,0.89619,0.99939,1,0.995,0.90603,0.50083,0.36138,0.82679,0.0015644,0.0015644,0.0015644
24,147.008,0.21543,0.23006,0.90863,0.99883,1,0.995,0.90469,0.4642,0.33846,0.79923,0.0015446,0.0015446,0.0015446
25,154.336,0.22643,0.23465,0.91502,0.98447,0.99862,0.99484,0.87398,0.55214,0.44298,0.86759,0.0015248,0.0015248,0.0015248
