epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24596,1.15926,2.02414,1.42664,0.93688,0.93701,0.98781,0.72919,0.7792,1.92154,1.16183,0.00062,0.00062,0.00062
2,10.868,0.72653,1.15184,1.09669,0.91276,0.96063,0.97064,0.74208,0.82086,1.68791,1.15119,0.00124753,0.00124753,0.00124753
3,15.5167,0.72462,1.02754,1.09517,0.93941,0.97638,0.97524,0.77469,0.69258,1.59221,1.13041,0.00186238,0.00186238,0.00186238
4,20.1977,0.74056,0.93458,1.1079,0.50976,0.84333,0.5528,0.36516,0.82812,2.38058,1.31678,0.0019406,0.0019406,0.0019406
5,25.4217,0.70046,0.79196,1.04896,0.49681,0.7874,0.48921,0.20103,1.65589,3.56954,2.16987,0.0019208,0.0019208,0.0019208
6,30.7587,0.65708,0.71752,1.03935,0.61161,0.83465,0.66871,0.37815,1.20985,1.66962,1.46791,0.001901,0.001901,0.001901
7,36.1447,0.60825,0.673,1.02024,0.8049,0.85039,0.81492,0.34589,1.94388,1.60819,2.13335,0.0018812,0.0018812,0.0018812
8,41.7277,0.59118,0.64232,1.01523,0.96645,0.90728,0.98387,0.7402,0.83248,1.09507,1.1078,0.0018614,0.0018614,0.0018614
9,47.6997,0.6329,0.60816,1.02693,0.90235,0.94594,0.97342,0.77249,0.69383,0.86361,1.03784,0.0018416,0.0018416,0.0018416
10,53.4587,0.57689,0.5555,0.99283,0.97698,0.99213,0.99469,0.85375,0.60918,0.74733,0.92631,0.0018218,0.0018218,0.0018218
11,59.5587,0.57659,0.54493,0.99841,0.98423,1,0.99398,0.88189,0.51178,0.52169,0.84051,0.001802,0.001802,0.001802
12,69.7504,0.58228,0.52507,1.01612,0.9987,1,0.995,0.87329,0.56571,0.54248,0.8858,0.0017822,0.0017822,0.0017822
13,79.9901,0.57028,0.50935,0.98981,0.91759,0.96437,0.98252,0.71803,0.77746,0.84791,1.16281,0.0017624,0.0017624,0.0017624
14,91.8973,0.57525,0.47802,0.99348,0.94621,0.99213,0.99275,0.8308,0.61995,0.57871,0.92315,0.0017426,0.0017426,0.0017426
15,103.999,0.54753,0.46257,0.97242,0.93112,0.9685,0.96902,0.8135,0.64029,0.60683,0.92936,0.0017228,0.0017228,0.0017228
16,117.544,0.52617,0.47369,0.98671,0.99134,1,0.99484,0.82957,0.66041,0.47118,0.90852,0.001703,0.001703,0.001703
17,130.696,0.52268,0.43849,0.97173,0.9879,1,0.99414,0.91515,0.42586,0.45054,0.79133,0.0016832,0.0016832,0.0016832
18,144.431,0.56854,0.56188,1.04076,0.99971,1,0.995,0.88328,0.4925,0.3852,0.81128,0.0016634,0.0016634,0.0016634
19,158.232,0.54189,0.43405,0.98083,0.99761,1,0.995,0.88816,0.46388,0.45582,0.8341,0.0016436,0.0016436,0.0016436
20,172.071,0.50738,0.48179,0.98019,0.90726,0.98425,0.98954,0.81456,0.6298,0.73664,0.98323,0.0016238,0.0016238,0.0016238
21,186.009,0.50815,0.38583,0.9652,0.96707,0.97638,0.99265,0.86487,0.50898,0.52947,0.8704,0.001604,0.001604,0.001604
22,199.773,0.46574,0.37647,0.95311,0.99703,0.99213,0.995,0.91984,0.43223,0.34142,0.82501,0.0015842,0.0015842,0.0015842
23,213.62,0.48294,0.38671,0.95822,0.90558,0.98178,0.96715,0.86412,0.46084,0.50719,0.87694,0.0015644,0.0015644,0.0015644
24,227.541,0.48016,0.36301,0.95642,0.99366,1,0.995,0.90112,0.4393,0.41941,0.81213,0.0015446,0.0015446,0.0015446
25,241.389,0.45905,0.36139,0.96364,0.99826,1,0.995,0.91057,0.4569,0.33563,0.80576,0.0015248,0.0015248,0.0015248
26,255.436,0.4696,0.50512,0.92612,0.98413,0.97646,0.99437,0.93203,0.3835,0.31123,0.74954,0.001505,0.001505,0.001505
27,269.356,0.4716,0.35968,0.95677,0.9903,0.99213,0.99492,0.92131,0.42008,0.3174,0.77879,0.0014852,0.0014852,0.0014852
28,283.239,0.48261,0.37544,0.97204,0.98681,0.99213,0.995,0.91231,0.47212,0.38141,0.81246,0.0014654,0.0014654,0.0014654
29,297.183,0.47179,0.36406,0.966,0.9803,1,0.99469,0.93279,0.37838,0.31821,0.78829,0.0014456,0.0014456,0.0014456
30,311.217,0.45086,0.3428,0.9482,0.98392,1,0.995,0.90292,0.44411,0.34095,0.83946,0.0014258,0.0014258,0.0014258
31,325.551,0.47435,0.35602,0.94446,0.98437,0.99195,0.99349,0.90915,0.45356,0.34334,0.82792,0.001406,0.001406,0.001406
32,339.806,0.4441,0.33331,0.93506,0.99981,0.99213,0.995,0.93434,0.37213,0.2841,0.75715,0.0013862,0.0013862,0.0013862
33,355.925,0.44615,0.33145,0.94517,0.99218,0.99959,0.995,0.92691,0.36961,0.28413,0.74245,0.0013664,0.0013664,0.0013664
34,373.897,0.42643,0.31693,0.93148,0.99955,1,0.995,0.9382,0.34772,0.26777,0.73534,0.0013466,0.0013466,0.0013466
35,388.511,0.3974,0.30587,0.92378,0.99919,1,0.995,0.92636,0.35842,0.28708,0.74003,0.0013268,0.0013268,0.0013268
36,403.092,0.42296,0.31409,0.9496,0.99934,1,0.995,0.92513,0.38508,0.28653,0.7517,0.001307,0.001307,0.001307
37,417.61,0.40065,0.34803,0.93349,0.99945,1,0.995,0.92168,0.3863,0.28139,0.77479,0.0012872,0.0012872,0.0012872
38,434.415,0.41997,0.30334,0.92537,1,0.99963,0.995,0.93588,0.3323,0.26668,0.73702,0.0012674,0.0012674,0.0012674
39,450.011,0.41353,0.30567,0.93552,1,0.99959,0.995,0.93333,0.34993,0.26003,0.74251,0.0012476,0.0012476,0.0012476
40,465.896,0.41614,0.29905,0.93236,1,0.99995,0.995,0.92805,0.38441,0.25646,0.74636,0.0012278,0.0012278,0.0012278
41,480.186,0.48307,0.37819,1.00281,0.98663,1,0.99477,0.93044,0.38073,0.2927,0.75373,0.001208,0.001208,0.001208
42,499.502,0.41067,0.30656,0.9286,0.99622,1,0.995,0.93321,0.35394,0.3073,0.74551,0.0011882,0.0011882,0.0011882
43,516.701,0.40323,0.30452,0.91963,1,0.99494,0.995,0.93859,0.33553,0.25761,0.73109,0.0011684,0.0011684,0.0011684
44,533.321,0.39688,0.28445,0.90693,0.99953,1,0.995,0.93376,0.37226,0.26605,0.74086,0.0011486,0.0011486,0.0011486
45,549.604,0.3685,0.27145,0.90311,0.99875,1,0.995,0.96548,0.32121,0.25611,0.7274,0.0011288,0.0011288,0.0011288
46,567.252,0.40287,0.2859,0.91785,0.99171,1,0.99008,0.92834,0.31967,0.25732,0.72537,0.001109,0.001109,0.001109
47,584.222,0.38694,0.28376,0.91696,0.99894,1,0.995,0.92368,0.34172,0.24301,0.74153,0.0010892,0.0010892,0.0010892
48,601.479,0.37872,0.28035,0.91875,0.99954,1,0.995,0.92598,0.35754,0.23958,0.75759,0.0010694,0.0010694,0.0010694
49,619.108,0.37479,0.26859,0.93124,0.99954,1,0.995,0.95562,0.32241,0.21038,0.71654,0.0010496,0.0010496,0.0010496
50,636.175,0.34467,0.25987,0.91367,0.99945,1,0.995,0.93562,0.35478,0.24461,0.7363,0.0010298,0.0010298,0.0010298
51,650.698,0.36994,0.27107,0.91766,0.99945,1,0.995,0.94277,0.32458,0.24481,0.72702,0.00101,0.00101,0.00101
52,667.484,0.38879,0.27728,0.9165,0.99948,1,0.995,0.94096,0.35963,0.25297,0.72764,0.0009902,0.0009902,0.0009902
53,685.602,0.35788,0.30819,0.9099,0.99944,1,0.995,0.94653,0.32866,0.24593,0.71992,0.0009704,0.0009704,0.0009704
