epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.833,1.36546,2.2188,1.56716,0.72656,0.59843,0.73745,0.40652,1.03384,3.0727,1.30849,0.00062,0.00062,0.00062
2,239.032,1.02829,1.51621,1.32273,0.19407,0.32283,0.11336,0.01537,3.46422,5.01214,4.51066,0.00124753,0.00124753,0.00124753
3,356.168,1.08941,1.49274,1.36164,0.46066,0.58512,0.48228,0.14834,1.67527,4.10662,1.90629,0.00186238,0.00186238,0.00186238
4,472.233,1.06263,1.39996,1.33036,0.05186,0.41732,0.05961,0.01201,3.34652,5.20505,7.16648,0.0019406,0.0019406,0.0019406
5,587.372,1.05772,1.18839,1.33443,0.22438,0.43963,0.25575,0.06717,2.72417,3.65308,5.1384,0.0019208,0.0019208,0.0019208
6,703.09,1.01635,1.06171,1.28104,0.07342,0.20472,0.04759,0.0096,2.94288,3.30687,3.45215,0.001901,0.001901,0.001901
7,817.973,0.99662,1.05426,1.25104,0.11701,0.2126,0.0981,0.03102,2.3193,2.92698,2.58493,0.0018812,0.0018812,0.0018812
8,933.869,0.96639,0.96823,1.2491,0.62456,0.65494,0.57944,0.27741,1.58316,2.17264,2.09436,0.0018614,0.0018614,0.0018614
9,1048.93,0.93974,0.89566,1.2327,0.23128,0.15748,0.08315,0.0276,2.69723,3.49098,3.26726,0.0018416,0.0018416,0.0018416
10,1163.59,0.90008,0.85317,1.22357,0.20689,0.59843,0.16139,0.03432,3.05907,2.95935,4.05596,0.0018218,0.0018218,0.0018218
11,1278.48,0.93056,0.8923,1.19366,0.24837,0.33858,0.23091,0.06536,2.58966,2.54135,2.92659,0.001802,0.001802,0.001802
12,1393.12,0.8709,0.76983,1.15302,0.63655,0.68953,0.71252,0.22165,2.14668,1.78636,2.45811,0.0017822,0.0017822,0.0017822
13,1509.31,0.88744,0.75914,1.1828,0.60577,0.45979,0.59889,0.24693,1.59382,1.86309,2.05372,0.0017624,0.0017624,0.0017624
14,1625.52,0.81877,0.71684,1.17951,0.55909,0.08996,0.29448,0.08511,2.4617,3.06657,2.51701,0.0017426,0.0017426,0.0017426
15,1741.83,0.95148,0.81163,1.27901,0.01173,0.95276,0.02925,0.0086,2.22641,3.53856,2.43757,0.0017228,0.0017228,0.0017228
16,1856.94,0.80612,0.71833,1.1506,0.07054,0.21872,0.0622,0.0162,2.66957,3.00413,2.9824,0.001703,0.001703,0.001703
17,1972.07,0.79391,0.6714,1.13031,0.72969,0.63766,0.71138,0.33348,1.54903,1.64912,2.03976,0.0016832,0.0016832,0.0016832
18,2087.57,0.77664,0.65822,1.11113,0.30653,0.71654,0.40069,0.2021,1.54078,1.75244,2.35642,0.0016634,0.0016634,0.0016634
19,2204.08,0.76813,0.67172,1.143,0.7556,0.79528,0.79167,0.41842,1.51873,1.28113,2.32491,0.0016436,0.0016436,0.0016436
20,2320.16,0.78717,0.65518,1.12457,0.65301,0.6063,0.6413,0.27285,1.92062,1.79073,2.62731,0.0016238,0.0016238,0.0016238
21,2436.8,0.78499,0.62482,1.13516,0.35309,0.3622,0.31596,0.10989,3.17787,1.62733,4.64091,0.001604,0.001604,0.001604
22,2553.83,0.85705,0.67208,1.18829,0.42738,0.43307,0.40287,0.13875,2.94563,1.52055,4.53864,0.0015842,0.0015842,0.0015842
23,2672.21,0.7254,0.90701,1.09026,0.57353,0.66929,0.58199,0.17953,2.24338,2.0253,2.67555,0.0015644,0.0015644,0.0015644
24,2787.32,0.73547,0.59827,1.12033,0.39075,0.6378,0.47479,0.19832,2.11184,1.6431,2.92225,0.0015446,0.0015446,0.0015446
25,2903.44,0.69744,0.60961,1.08586,0.45672,0.5748,0.48795,0.15257,2.4763,1.52034,3.32812,0.0015248,0.0015248,0.0015248
