epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63629,1.32149,2.3009,1.54637,0.53885,0.46457,0.58232,0.27691,1.366,2.92871,1.95462,0.00062,0.00062,0.00062
2,13.9529,0.95235,1.43665,1.23431,0.06681,0.1811,0.03098,0.00516,3.82138,7.26218,5.32713,0.00124753,0.00124753,0.00124753
3,21.0605,0.9146,1.26362,1.20952,0.33684,0.69291,0.38873,0.12581,1.76539,5.85996,2.66293,0.00186238,0.00186238,0.00186238
4,28.9343,0.91894,1.16011,1.20386,0.39791,0.48031,0.38058,0.14767,1.93916,4.64613,3.09886,0.0019406,0.0019406,0.0019406
5,36.9859,0.91124,1.03183,1.18491,0.25513,0.77165,0.24393,0.09737,1.74651,2.98449,2.08524,0.0019208,0.0019208,0.0019208
6,44.1815,0.8288,0.92775,1.14723,0.33816,0.10866,0.15944,0.04368,3.16163,2.68654,2.86442,0.001901,0.001901,0.001901
7,51.8861,0.83316,0.83674,1.13279,0.58107,0.77165,0.71315,0.45027,1.31624,1.44656,1.61419,0.0018812,0.0018812,0.0018812
8,60.7606,0.79126,0.79355,1.13283,0.45864,0.66142,0.42265,0.11165,2.61175,1.93635,3.25953,0.0018614,0.0018614,0.0018614
9,73.228,0.77708,0.77415,1.12017,0.56369,0.69177,0.67572,0.2313,1.87478,4.7379,2.12477,0.0018416,0.0018416,0.0018416
10,87.3842,0.75715,0.69145,1.11092,0.40064,0.77953,0.44073,0.17712,1.94365,2.6493,2.21942,0.0018218,0.0018218,0.0018218
11,102.089,0.73618,0.71428,1.0969,0.52312,0.87402,0.73179,0.46374,1.03539,1.58572,1.36334,0.001802,0.001802,0.001802
12,116.335,0.72442,0.6692,1.14098,0.29824,0.69269,0.27243,0.12481,1.69477,2.61172,2.05654,0.0017822,0.0017822,0.0017822
13,132.471,0.71529,0.62068,1.07358,0.21394,0.8189,0.25721,0.15518,1.30106,2.30317,1.9655,0.0017624,0.0017624,0.0017624
14,148.911,0.70077,0.60549,1.07353,0.26349,0.51833,0.16719,0.03356,3.13634,2.53891,5.1523,0.0017426,0.0017426,0.0017426
15,165.571,0.68271,0.56936,1.0514,0.50537,0.69189,0.56118,0.22485,1.97037,1.76772,2.14767,0.0017228,0.0017228,0.0017228
16,182.342,0.66763,0.58195,1.07376,0.36686,0.51969,0.39762,0.13866,2.44003,1.94454,2.66884,0.001703,0.001703,0.001703
17,199.392,0.69838,0.5612,1.07066,0.10033,0.24409,0.05226,0.01254,3.26121,2.96628,3.71314,0.0016832,0.0016832,0.0016832
18,218.398,0.64289,0.55894,1.06537,0.19736,0.44882,0.11847,0.02321,3.22984,3.27706,3.74301,0.0016634,0.0016634,0.0016634
19,235.308,0.63422,0.51332,1.03524,0.2824,0.70079,0.24875,0.07218,2.35686,3.46211,2.74578,0.0016436,0.0016436,0.0016436
20,252.854,0.66147,0.51383,1.0706,0.25664,0.5748,0.27726,0.05928,2.75702,3.11129,2.88705,0.0016238,0.0016238,0.0016238
21,269.998,0.59958,0.48141,1.02392,0.38632,0.66917,0.35004,0.11103,2.11471,2.58983,2.6298,0.001604,0.001604,0.001604
22,288.491,0.61024,0.4762,1.01848,0.14197,0.3937,0.0775,0.01701,3.63709,3.34225,4.61296,0.0015842,0.0015842,0.0015842
23,305.665,0.61075,0.48484,1.01509,0.25531,0.52756,0.2161,0.05615,2.48786,2.87757,2.93088,0.0015644,0.0015644,0.0015644
24,323.435,0.65654,0.53301,1.05809,0.15696,0.4252,0.11763,0.0297,2.78284,2.91146,2.87183,0.0015446,0.0015446,0.0015446
25,340.66,0.59033,0.48489,1.03261,0.10225,0.22047,0.04949,0.00997,3.71887,2.84801,4.46046,0.0015248,0.0015248,0.0015248
26,359.304,0.57818,0.61396,0.98068,0.2936,0.35433,0.17861,0.04401,3.07845,2.50876,3.45703,0.001505,0.001505,0.001505
27,376.614,0.59539,0.46932,1.03551,0.18189,0.43307,0.10628,0.02063,3.53905,4.31109,4.74181,0.0014852,0.0014852,0.0014852
28,393.923,0.60802,0.47375,1.04219,0.31793,0.70866,0.2738,0.11637,2.21941,2.00832,3.21475,0.0014654,0.0014654,0.0014654
29,411.911,0.59288,0.46012,1.02486,0.33624,0.43479,0.26742,0.09168,2.5703,2.29293,3.06692,0.0014456,0.0014456,0.0014456
30,431.33,0.55141,0.43169,0.99492,0.29802,0.61417,0.235,0.06756,2.55574,2.52226,2.71021,0.0014258,0.0014258,0.0014258
31,449.711,0.5559,0.42254,0.98295,0.2237,0.51054,0.14747,0.02865,3.37793,2.7033,3.80776,0.001406,0.001406,0.001406
32,467.826,0.51536,0.39865,0.97493,0.22204,0.38583,0.13756,0.02357,3.35255,2.58511,3.4443,0.0013862,0.0013862,0.0013862
33,488.479,0.56794,0.44193,1.01624,0.21876,0.50394,0.18005,0.05016,2.90203,2.36987,3.35231,0.0013664,0.0013664,0.0013664
34,508.92,0.56478,0.44335,0.98913,0.33362,0.43307,0.27317,0.10575,2.0285,2.59402,2.2312,0.0013466,0.0013466,0.0013466
35,528.411,0.51313,0.40701,0.98321,0.21748,0.6378,0.19075,0.0617,2.41151,3.14029,2.4054,0.0013268,0.0013268,0.0013268
36,549.317,0.51406,0.38458,0.97809,0.17991,0.34646,0.15684,0.06463,2.37915,2.55131,2.21583,0.001307,0.001307,0.001307
37,568.343,0.52027,0.40867,1.00539,0.43146,0.63341,0.35934,0.1008,2.34635,2.22473,2.16833,0.0012872,0.0012872,0.0012872
38,587.302,0.51601,0.40418,0.97295,0.28138,0.64438,0.2308,0.06103,2.86311,2.91724,3.0639,0.0012674,0.0012674,0.0012674
39,605.59,0.51791,0.37626,1.00854,0.24081,0.45669,0.15744,0.0352,3.30419,3.46276,3.86109,0.0012476,0.0012476,0.0012476
40,624.208,0.48285,0.37548,0.97557,0.36623,0.74016,0.37592,0.2025,1.35795,2.42462,1.47688,0.0012278,0.0012278,0.0012278
41,642.533,0.49936,0.37531,0.98283,0.45188,0.76378,0.49986,0.33144,1.10658,1.50777,1.3133,0.001208,0.001208,0.001208
42,660.813,0.48001,0.36771,0.95912,0.23624,0.43307,0.17657,0.03095,3.5609,2.58503,4.0803,0.0011882,0.0011882,0.0011882
43,680.531,0.51134,0.36926,0.96046,0.16583,0.4383,0.09948,0.01828,3.68562,3.11033,4.30089,0.0011684,0.0011684,0.0011684
44,700.128,0.49202,0.37057,0.955,0.30769,0.65442,0.26926,0.06799,2.72034,2.91053,2.65026,0.0011486,0.0011486,0.0011486
45,719.435,0.4678,0.34294,0.94518,0.18175,0.35433,0.10357,0.01831,3.43282,4.05542,3.46776,0.0011288,0.0011288,0.0011288
46,737.949,0.49103,0.35107,0.96918,0.15617,0.33081,0.10095,0.0187,3.71998,4.28604,4.29127,0.001109,0.001109,0.001109
47,755.659,0.47696,0.35741,0.96466,0.15563,0.41506,0.10946,0.01929,3.65468,3.96812,3.86366,0.0010892,0.0010892,0.0010892
48,773.56,0.49573,0.35353,0.97146,0.25266,0.68148,0.23559,0.07289,2.56212,3.0763,2.41906,0.0010694,0.0010694,0.0010694
49,794.061,0.48762,0.36912,0.97952,0.38412,0.66142,0.50076,0.23553,1.6135,2.21101,1.65633,0.0010496,0.0010496,0.0010496
50,815.805,0.48811,0.35638,0.98641,0.63939,0.74016,0.77961,0.54957,0.97752,1.19735,1.13063,0.0010298,0.0010298,0.0010298
51,834.182,0.48031,0.34875,0.96828,0.79142,0.69291,0.81649,0.51138,1.37396,1.38504,1.45886,0.00101,0.00101,0.00101
52,853.77,0.49002,0.35718,0.96101,0.47357,0.52756,0.39965,0.10571,2.82284,1.88306,2.92373,0.0009902,0.0009902,0.0009902
53,871.792,0.46711,0.42977,0.95274,0.22054,0.58268,0.15712,0.02779,3.53054,3.53129,3.67384,0.0009704,0.0009704,0.0009704
54,891.105,0.47881,0.3423,0.96346,0.23196,0.64921,0.1743,0.03106,3.3037,3.08079,3.30867,0.0009506,0.0009506,0.0009506
55,910.354,0.46465,0.32667,0.95876,0.26194,0.56451,0.19023,0.03727,3.29804,2.15639,3.06854,0.0009308,0.0009308,0.0009308
56,929.725,0.46409,0.32863,0.94833,0.2977,0.52404,0.25795,0.07534,2.73936,2.09591,2.43953,0.000911,0.000911,0.000911
57,947.61,0.43674,0.32045,0.94414,0.21959,0.5539,0.17178,0.03867,3.06218,3.33514,2.8325,0.0008912,0.0008912,0.0008912
58,966.234,0.42174,0.30406,0.94336,0.19843,0.54331,0.14303,0.02687,3.34863,4.16881,3.30116,0.0008714,0.0008714,0.0008714
59,982.341,0.44244,0.33311,0.94476,0.24994,0.46457,0.17527,0.04179,3.12534,3.02513,3.07134,0.0008516,0.0008516,0.0008516
60,1003.02,0.44054,0.33237,0.95923,0.51061,0.54331,0.53555,0.27136,1.90794,1.57457,1.75774,0.0008318,0.0008318,0.0008318
61,1023,0.40599,0.31104,0.93285,0.60836,0.75591,0.72974,0.54203,0.85571,1.18949,1.09849,0.000812,0.000812,0.000812
62,1045,0.42808,0.29826,0.93971,0.54411,0.54507,0.52942,0.34434,1.20081,1.73874,1.33778,0.0007922,0.0007922,0.0007922
63,1063.47,0.44202,0.32806,0.94655,0.20678,0.6063,0.18162,0.05667,2.67988,2.48528,2.59374,0.0007724,0.0007724,0.0007724
64,1082.93,0.44542,0.31758,0.94067,0.21191,0.55118,0.15798,0.03182,3.27513,2.78392,3.49018,0.0007526,0.0007526,0.0007526
65,1102.07,0.43718,0.32164,0.94828,0.23541,0.32283,0.1512,0.03164,3.42494,2.23132,3.89,0.0007328,0.0007328,0.0007328
66,1120.94,0.40935,0.30836,0.93487,0.11379,0.25984,0.0928,0.02904,3.42918,3.94541,3.52697,0.000713,0.000713,0.000713
67,1139.36,0.41428,0.30711,0.93631,0.03459,0.25984,0.03595,0.01105,3.35391,3.89563,3.39432,0.0006932,0.0006932,0.0006932
68,1160.41,0.42417,0.30529,0.94815,0.15817,0.46457,0.11672,0.02689,3.07394,3.70484,3.13148,0.0006734,0.0006734,0.0006734
69,1179.34,0.39977,0.28238,0.91533,0.18746,0.56693,0.1318,0.02745,3.24004,3.52349,3.28642,0.0006536,0.0006536,0.0006536
70,1198.23,0.41904,0.30097,0.94388,0.19214,0.40157,0.11486,0.02237,3.6546,3.01735,4.12548,0.0006338,0.0006338,0.0006338
71,1213.42,0.42103,0.32184,0.95572,0.24636,0.46457,0.18509,0.03653,3.56413,3.1582,4.21676,0.000614,0.000614,0.000614
72,1228.1,0.41162,0.3043,0.93322,0.2782,0.44094,0.24644,0.05459,3.23929,3.50667,3.63092,0.0005942,0.0005942,0.0005942
73,1243.08,0.42346,0.30539,0.95005,0.25958,0.50394,0.18976,0.04477,3.05019,2.82432,3.57313,0.0005744,0.0005744,0.0005744
74,1258.17,0.4084,0.29487,0.92883,0.34127,0.49606,0.26649,0.09819,2.64463,2.00145,2.84317,0.0005546,0.0005546,0.0005546
75,1273.06,0.39752,0.27912,0.93774,0.30693,0.38011,0.21238,0.08045,2.80274,2.30216,2.86302,0.0005348,0.0005348,0.0005348
76,1288.04,0.3733,0.27272,0.92254,0.31087,0.50394,0.3018,0.14112,2.24811,2.22119,2.13171,0.000515,0.000515,0.000515
77,1303.06,0.37513,0.29091,0.91952,0.26174,0.48296,0.26142,0.10751,2.16405,2.36052,2.03857,0.0004952,0.0004952,0.0004952
78,1318.14,0.38444,0.27333,0.93238,0.29207,0.47429,0.24596,0.08944,2.50936,2.20299,2.50944,0.0004754,0.0004754,0.0004754
79,1333.75,0.39185,0.2882,0.93702,0.41681,0.53543,0.37971,0.15051,2.26269,1.91969,2.28363,0.0004556,0.0004556,0.0004556
80,1348.64,0.37706,0.2792,0.92475,0.22348,0.48031,0.19518,0.06319,2.76069,2.51718,2.83859,0.0004358,0.0004358,0.0004358
