epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.81,1.50243,2.35224,1.68146,0.67811,0.99213,0.95254,0.56972,0.77589,2.94694,1.20849,0.00062,0.00062,0.00062
2,237.829,1.09793,1.61389,1.36617,0.2655,0.51969,0.26114,0.08966,1.59048,3.71557,2.27145,0.00124753,0.00124753,0.00124753
3,352.868,1.09292,1.49826,1.36439,0.00467,0.07087,0.00372,0.00051,3.85434,4.29139,3.91522,0.00186238,0.00186238,0.00186238
4,468.234,1.17336,1.41311,1.41482,0.00182,0.49606,0.00475,0.00072,3.92135,4.35865,3.20818,0.0019406,0.0019406,0.0019406
5,584.077,1.07832,1.25083,1.32477,0.26969,0.27559,0.21532,0.04832,2.30028,3.24532,2.64546,0.0019208,0.0019208,0.0019208
6,699.644,1.07247,1.11337,1.30172,0.001,0.24409,0.00077,9e-05,4.44917,3.65008,4.0168,0.001901,0.001901,0.001901
7,815.029,0.98816,1.04302,1.26258,0.00105,0.30709,0.0008,0.00013,4.2988,3.78883,4.19359,0.0018812,0.0018812,0.0018812
8,930.145,0.9899,1.011,1.29187,0.04713,0.07874,0.02857,0.00519,3.99792,3.46183,3.82838,0.0018614,0.0018614,0.0018614
9,1045.52,0.92952,0.90773,1.22673,0.00013,0.03937,7e-05,1e-05,4.51037,4.11553,4.36295,0.0018416,0.0018416,0.0018416
10,1160.23,0.89788,0.88045,1.19338,0.00133,0.12598,0.00079,0.00013,4.2824,3.96853,3.87043,0.0018218,0.0018218,0.0018218
11,1275.45,0.96737,0.92521,1.22255,0.10572,0.3937,0.07406,0.01811,2.67413,2.87653,3.10607,0.001802,0.001802,0.001802
12,1390.68,0.86077,0.76849,1.15354,0.03231,0.02362,0.01132,0.00188,3.5858,3.26987,3.45853,0.0017822,0.0017822,0.0017822
13,1505.73,0.86742,0.75893,1.17047,0.00666,0.01575,0.01013,0.00172,3.49802,3.41682,3.10853,0.0017624,0.0017624,0.0017624
14,1621.48,0.84599,0.80379,1.18314,0.00494,0.62992,0.01227,0.00164,3.73843,3.32571,3.62649,0.0017426,0.0017426,0.0017426
15,1737.61,0.93712,0.76078,1.25006,0.00756,0.93701,0.01197,0.00168,3.47652,3.5067,3.63713,0.0017228,0.0017228,0.0017228
16,1853.95,0.83582,0.71769,1.17884,0.08317,0.02362,0.0106,0.00303,3.5271,3.1557,3.74242,0.001703,0.001703,0.001703
17,1968.51,0.84042,0.6722,1.15146,0.00741,0.70866,0.01,0.00179,3.34116,3.54997,3.41799,0.0016832,0.0016832,0.0016832
18,2084.21,0.81167,0.64849,1.12875,0.00716,0.79528,0.00991,0.00187,3.40166,3.43499,3.43943,0.0016634,0.0016634,0.0016634
19,2200.37,0.77265,0.67589,1.13196,0.01189,0.14173,0.00725,0.0018,3.55101,3.83839,3.47611,0.0016436,0.0016436,0.0016436
20,2317.05,0.77442,0.65547,1.12469,0.0051,0.02362,0.00266,0.0008,3.06731,4.45177,2.80534,0.0016238,0.0016238,0.0016238
21,2433.33,0.77259,0.63645,1.13047,0.01695,0.09449,0.01027,0.00578,2.576,4.27006,2.71372,0.001604,0.001604,0.001604
22,2550.24,0.78635,0.68989,1.11838,0.0102,0.06299,0.00835,0.00368,2.68098,4.15312,2.83271,0.0015842,0.0015842,0.0015842
23,2667.56,0.69724,0.8332,1.06557,0.01852,0.07874,0.01134,0.00358,3.40155,4.16582,3.49167,0.0015644,0.0015644,0.0015644
24,2784.45,0.74863,0.59618,1.12052,0.02857,0.0315,0.01514,0.00629,3.8497,4.55606,4.16328,0.0015446,0.0015446,0.0015446
25,2901.64,0.73058,0.59159,1.15112,0.04181,0.19685,0.02879,0.00979,2.74571,4.34814,2.81819,0.0015248,0.0015248,0.0015248
26,3019.06,0.75738,0.64916,1.14117,0.23481,0.26772,0.1722,0.06463,2.31121,2.80294,2.37054,0.001505,0.001505,0.001505
27,3135.36,0.73821,0.60228,1.10946,0.19451,0.29853,0.13437,0.05862,2.32818,2.74371,2.30163,0.0014852,0.0014852,0.0014852
28,3251.81,0.74314,0.57043,1.11374,0.14373,0.06299,0.04416,0.01738,3.35341,3.77704,3.18994,0.0014654,0.0014654,0.0014654
29,3369.38,0.7504,0.57839,1.12462,0.10961,0.08661,0.02857,0.00843,3.6425,4.16016,3.41874,0.0014456,0.0014456,0.0014456
30,3486.47,0.71788,0.57655,1.06966,0.0062,0.03937,0.0034,0.00173,2.77315,5.01745,2.81369,0.0014258,0.0014258,0.0014258
31,3603.53,0.65958,0.5611,1.06292,0,0,0,0,3.22034,4.97457,3.30186,0.001406,0.001406,0.001406
32,3718.45,0.67792,0.53105,1.07111,0.00099,0.00787,0.00066,0.00026,3.50804,4.69391,3.68617,0.0013862,0.0013862,0.0013862
33,3835.08,0.68318,0.565,1.07171,0.00987,0.05512,0.00681,0.00157,3.51207,4.63454,3.74874,0.0013664,0.0013664,0.0013664
34,3952.96,0.6867,0.55834,1.08308,0.07972,0.02362,0.01509,0.00643,2.77897,4.64807,2.85238,0.0013466,0.0013466,0.0013466
35,4069.11,0.66919,0.56074,1.07822,0.006,0.06299,0.00343,0.00111,2.54553,4.68763,2.48653,0.0013268,0.0013268,0.0013268
36,4186.95,0.64956,0.51212,1.05866,0.01946,0.16535,0.0131,0.00433,2.39778,4.48033,2.498,0.001307,0.001307,0.001307
37,4304.59,0.63848,0.5224,1.04217,0.2852,0.02362,0.01939,0.0077,2.24212,4.38312,2.47645,0.0012872,0.0012872,0.0012872
38,4422.11,0.65233,0.52112,1.06332,0.00684,0.05512,0.00379,0.00107,2.24731,4.55092,2.64119,0.0012674,0.0012674,0.0012674
39,4539.63,0.63904,0.5011,1.0796,0.00998,0.0315,0.00515,0.00128,2.4614,4.74243,2.83218,0.0012476,0.0012476,0.0012476
40,4656.62,0.65106,0.50542,1.07647,0,0,0,0,3.27245,4.92715,3.20226,0.0012278,0.0012278,0.0012278
41,4774.88,0.64522,0.50989,1.04462,0,0,0,0,3.23747,5.13161,3.60948,0.001208,0.001208,0.001208
42,4893.03,0.61042,0.47096,1.04343,0,0,0,0,3.14539,5.11094,3.5445,0.0011882,0.0011882,0.0011882
43,5011.39,0.6787,0.5145,1.08963,0,0,0,0,2.85035,5.22841,3.20289,0.0011684,0.0011684,0.0011684
44,5128.7,0.61581,0.46051,1.03834,0,0,0,0,3.01698,5.22344,3.15838,0.0011486,0.0011486,0.0011486
45,5246.61,0.63975,0.4738,1.05581,0,0,0,0,3.58945,5.02799,3.62169,0.0011288,0.0011288,0.0011288
46,5363.52,0.56636,0.68503,0.99666,0.0031,0.00787,0.00162,0.00049,2.95747,4.88493,2.86795,0.001109,0.001109,0.001109
47,5480.59,0.57342,0.44854,1.01574,0,0,0,0,3.27599,5.03473,3.27838,0.0010892,0.0010892,0.0010892
48,5597.14,0.58365,0.45732,1.01242,0,0,0,0,3.90709,5.16226,3.49589,0.0010694,0.0010694,0.0010694
49,5714.97,0.5602,0.4325,1.00594,0,0,0,0,4.53561,5.58816,4.27209,0.0010496,0.0010496,0.0010496
50,5834.08,0.57989,0.45016,1.02058,0,0,0,0,3.49532,5.37836,3.5374,0.0010298,0.0010298,0.0010298
51,5952.82,0.56785,0.45243,1.02798,0.01493,0.00787,0.00756,0.00378,2.80007,4.91841,3.0181,0.00101,0.00101,0.00101
52,6071.24,0.59276,0.46778,1.03711,0.01266,0.00787,0.00649,0.00389,2.87746,4.9265,3.11893,0.0009902,0.0009902,0.0009902
53,6189.55,0.56503,0.45896,1.01754,0.01143,0.01575,0.00606,0.00334,3.11585,4.78984,3.39897,0.0009704,0.0009704,0.0009704
54,6308.44,0.55542,0.43597,1.01553,0.02869,0.05512,0.01575,0.00629,3.01138,4.66874,3.13268,0.0009506,0.0009506,0.0009506
55,6425.73,0.55851,0.44794,1.01637,0.0125,0.04724,0.00699,0.00285,2.5388,4.87496,2.79821,0.0009308,0.0009308,0.0009308
56,6544.46,0.57188,0.44122,1.01153,0.01848,0.07087,0.01022,0.00611,2.24833,4.64651,2.54984,0.000911,0.000911,0.000911
57,6663.11,0.57455,0.43772,1.03646,0.02241,0.10236,0.01322,0.00664,2.29848,4.42724,2.58872,0.0008912,0.0008912,0.0008912
58,6781.87,0.53401,0.46304,1.0026,0.02592,0.09449,0.01529,0.00763,2.31991,4.48069,2.58948,0.0008714,0.0008714,0.0008714
59,6900.76,0.60423,0.44038,1.07013,0.02915,0.07874,0.01581,0.00773,1.90944,4.70347,2.30485,0.0008516,0.0008516,0.0008516
60,7019.79,0.55668,0.4405,1.00629,0.01818,0.01575,0.00973,0.00584,2.34789,5.21359,2.69855,0.0008318,0.0008318,0.0008318
61,7139.36,0.54164,0.41422,0.98652,0.06593,0.04724,0.04054,0.02262,2.79299,5.18471,2.79546,0.000812,0.000812,0.000812
62,7258.93,0.55109,0.40542,1.00351,0.0991,0.08661,0.06678,0.03809,2.43725,5.15377,2.5539,0.0007922,0.0007922,0.0007922
63,7376.45,0.49839,0.38384,0.98667,0.07065,0.10236,0.06371,0.03678,2.19821,4.78131,2.3428,0.0007724,0.0007724,0.0007724
64,7493.94,0.53136,0.41761,1.02103,0.07246,0.03937,0.04596,0.03366,2.47123,5.18306,2.66051,0.0007526,0.0007526,0.0007526
65,7611.61,0.54532,0.41072,0.99839,0.01695,0.00787,0.00866,0.00693,2.67315,5.34442,2.85731,0.0007328,0.0007328,0.0007328
66,7728.61,0.54796,0.40845,1.01678,0.0068,0.00787,0.00344,0.00241,2.61916,5.25518,2.76637,0.000713,0.000713,0.000713
67,7846.52,0.51682,0.39897,1.02443,0.00402,0.00787,0.00203,0.00122,2.67463,5.23976,2.87886,0.0006932,0.0006932,0.0006932
68,7965.03,0.47962,0.39793,0.98668,0.01,0.01575,0.00516,0.00309,2.69158,5.17501,2.8645,0.0006734,0.0006734,0.0006734
69,8082.7,0.52331,0.39363,0.98129,0.02618,0.03937,0.01527,0.0073,2.6902,4.96721,2.84116,0.0006536,0.0006536,0.0006536
70,8200.65,0.52856,0.42719,0.99541,0.0381,0.09449,0.02958,0.01306,2.55742,4.54691,2.73021,0.0006338,0.0006338,0.0006338
71,8318.25,0.50754,0.40444,0.99716,0.04766,0.47244,0.06238,0.02785,2.22091,3.74103,2.38082,0.000614,0.000614,0.000614
72,8437.8,0.49364,0.38634,0.97704,0.05746,0.44882,0.07104,0.03211,2.46434,3.95201,2.57283,0.0005942,0.0005942,0.0005942
73,8557.4,0.49804,0.3776,0.98086,0.05657,0.29134,0.05796,0.02639,2.78212,4.2731,2.92284,0.0005744,0.0005744,0.0005744
74,8675.83,0.4994,0.37723,0.99557,0.03099,0.08661,0.0435,0.02001,3.17577,4.84688,3.49407,0.0005546,0.0005546,0.0005546
75,8794.85,0.47148,0.56855,0.95973,0.06667,0.08661,0.05398,0.0217,3.15506,5.00473,3.47772,0.0005348,0.0005348,0.0005348
76,8914,0.48916,0.37867,0.98955,0.05128,0.0315,0.03547,0.01262,3.20307,5.24793,3.54592,0.000515,0.000515,0.000515
77,9033.12,0.46548,0.39454,0.9769,0.075,0.04724,0.04416,0.01348,3.19501,5.3207,3.54027,0.0004952,0.0004952,0.0004952
78,9150.29,0.46686,0.3767,0.98151,0.09333,0.05512,0.05427,0.0173,3.12827,5.34133,3.45701,0.0004754,0.0004754,0.0004754
79,9269.48,0.46308,0.35991,0.96288,0.17021,0.06299,0.09383,0.03279,3.11273,5.37267,3.40033,0.0004556,0.0004556,0.0004556
80,9388.92,0.54898,0.44854,1.03574,0.15254,0.07087,0.0843,0.03712,3.04671,5.29436,3.32812,0.0004358,0.0004358,0.0004358
81,9507.7,0.47861,0.36222,0.99033,0.07143,0.05512,0.0411,0.0263,3.14451,5.17741,3.47773,0.000416,0.000416,0.000416
82,9627.35,0.45599,0.34369,0.96478,0.08228,0.10236,0.05403,0.02792,3.00319,4.97541,3.3212,0.0003962,0.0003962,0.0003962
83,9746.58,0.47229,0.34907,0.97616,0.02632,0.06299,0.01814,0.00882,3.20447,5.15125,3.68569,0.0003764,0.0003764,0.0003764
