epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3448,1.41261,2.41617,1.64242,0.00514,1,0.79606,0.39451,0.98351,2.88591,1.39196,0.00062,0.00062,0.00062
2,17.2798,0.96603,1.47359,1.26664,0.4198,0.61417,0.38059,0.11127,2.31517,4.14386,2.80015,0.00124753,0.00124753,0.00124753
3,23.3208,0.92484,1.28028,1.2203,0.16529,0.40157,0.13937,0.04346,2.32172,6.36723,3.05074,0.00186238,0.00186238,0.00186238
4,28.7526,0.87462,1.10541,1.19494,0.11009,0.14173,0.0956,0.04237,1.89975,7.27968,3.27118,0.0019406,0.0019406,0.0019406
5,34.3643,0.87061,0.98958,1.17505,0.32382,0.81102,0.32316,0.1283,1.62907,2.3931,2.0913,0.0019208,0.0019208,0.0019208
6,40.4633,0.82491,0.92738,1.15282,0.26703,0.3622,0.18148,0.03099,3.70983,4.58954,4.88832,0.001901,0.001901,0.001901
7,48.9046,0.81024,0.8039,1.13338,0.43045,0.55906,0.43587,0.13111,2.33139,2.01095,2.8935,0.0018812,0.0018812,0.0018812
8,57.6096,0.74949,0.7993,1.11222,0.44579,0.3937,0.29559,0.06168,2.93487,2.04897,5.09879,0.0018614,0.0018614,0.0018614
9,67.5816,0.80156,0.76655,1.12391,0.58451,0.5748,0.60409,0.21134,1.99282,1.88307,2.93018,0.0018416,0.0018416,0.0018416
10,76.6846,0.70574,0.67552,1.08885,0.41177,0.6449,0.4957,0.15971,2.3812,2.33726,3.32258,0.0018218,0.0018218,0.0018218
11,88.3016,0.71035,0.66161,1.08901,0.67044,0.7874,0.75245,0.25138,2.36796,3.24265,3.96996,0.001802,0.001802,0.001802
12,101.172,0.73497,0.63348,1.14345,0.52751,0.71654,0.65522,0.20906,2.47941,3.00944,4.11098,0.0017822,0.0017822,0.0017822
13,116.749,0.72683,0.64959,1.08272,0.72851,0.81102,0.75816,0.30742,2.03299,1.52564,2.58924,0.0017624,0.0017624,0.0017624
14,130.207,0.68335,0.59954,1.05379,0.36154,0.40577,0.30865,0.08069,3.19509,2.46347,4.06193,0.0017426,0.0017426,0.0017426
15,146.542,0.69299,0.58097,1.06047,0.53904,0.5748,0.57847,0.20298,2.13926,1.68827,2.43605,0.0017228,0.0017228,0.0017228
16,163.141,0.65988,0.56278,1.07945,0.55573,0.55156,0.53741,0.1724,2.19099,1.79684,2.65475,0.001703,0.001703,0.001703
17,178.339,0.67326,0.54671,1.07966,0.73162,0.79421,0.82236,0.32452,1.84134,1.75562,1.9424,0.0016832,0.0016832,0.0016832
18,193.605,0.67878,0.52099,1.14948,0.20685,0.44561,0.11629,0.0201,3.12453,2.6169,4.08504,0.0016634,0.0016634,0.0016634
19,208.323,0.62864,0.50358,1.03495,0.50013,0.51181,0.5553,0.33883,1.32791,1.92583,1.98046,0.0016436,0.0016436,0.0016436
20,223.183,0.672,0.55028,1.0885,0.37646,0.62992,0.40829,0.13626,2.18484,2.21551,2.76027,0.0016238,0.0016238,0.0016238
21,240.694,0.60926,0.4828,1.0282,0.5129,0.58038,0.47936,0.12246,2.58899,1.9034,3.40872,0.001604,0.001604,0.001604
22,256.435,0.59824,0.47063,1.01955,0.68124,0.53543,0.61015,0.19496,2.25275,1.7376,3.12653,0.0015842,0.0015842,0.0015842
23,272.662,0.61575,0.48408,1.01718,0.47191,0.56693,0.49727,0.12373,2.73532,1.87886,3.69758,0.0015644,0.0015644,0.0015644
24,291.156,0.65411,0.52758,1.05966,0.37147,0.49606,0.33046,0.10476,2.07403,2.3114,2.34843,0.0015446,0.0015446,0.0015446
25,307.361,0.5982,0.4839,1.03724,0.44806,0.51181,0.40781,0.16961,1.87776,2.04467,2.33563,0.0015248,0.0015248,0.0015248
26,324.378,0.55607,0.68478,0.9758,0.92767,0.93701,0.95083,0.69916,0.7942,0.77557,1.16481,0.001505,0.001505,0.001505
27,341.099,0.60818,0.47014,1.03257,0.75554,0.88189,0.89608,0.58199,1.00303,1.20438,1.27389,0.0014852,0.0014852,0.0014852
28,356.7,0.59716,0.48096,1.02491,0.77526,0.81102,0.86836,0.5484,1.17836,0.95653,1.50221,0.0014654,0.0014654,0.0014654
29,374.917,0.57948,0.47094,1.01893,0.7319,0.7874,0.77734,0.35027,1.49877,1.58428,1.84554,0.0014456,0.0014456,0.0014456
30,395.438,0.53035,0.43672,0.98668,0.36608,0.75939,0.34503,0.10048,2.30081,2.353,2.57183,0.0014258,0.0014258,0.0014258
31,412.468,0.56519,0.4353,0.98995,0.41455,0.7874,0.45217,0.2017,1.78406,1.94434,1.87305,0.001406,0.001406,0.001406
32,429.168,0.55444,0.43402,0.98944,0.79677,0.82677,0.85141,0.43434,1.34153,1.27318,1.60949,0.0013862,0.0013862,0.0013862
33,446.489,0.58078,0.44819,1.02119,0.86282,0.89147,0.92029,0.5453,1.15752,1.16046,1.40008,0.0013664,0.0013664,0.0013664
34,463.058,0.61102,0.43743,1.0206,0.81479,0.83137,0.86271,0.58271,1.08322,0.90759,1.3137,0.0013466,0.0013466,0.0013466
35,479.261,0.51607,0.40711,0.97955,0.91392,0.89764,0.94212,0.67544,0.87198,0.76074,1.23577,0.0013268,0.0013268,0.0013268
36,495.18,0.51036,0.37827,0.97777,0.79718,0.75591,0.83511,0.6065,0.96009,1.07837,1.32332,0.001307,0.001307,0.001307
37,513.074,0.51037,0.41264,0.9954,0.78513,0.62205,0.70827,0.31951,1.76801,1.34554,2.00335,0.0012872,0.0012872,0.0012872
38,529.549,0.5071,0.38357,0.96456,0.55714,0.7874,0.69953,0.38152,1.64246,1.87846,2.28596,0.0012674,0.0012674,0.0012674
39,546.266,0.49055,0.36444,0.97764,0.7162,0.79485,0.78924,0.46916,1.575,1.0925,2.10633,0.0012476,0.0012476,0.0012476
40,561.119,0.4839,0.37615,0.97313,0.64415,0.65354,0.65137,0.22572,2.21348,1.68849,2.31636,0.0012278,0.0012278,0.0012278
41,576.038,0.5147,0.38611,0.99088,0.18552,0.32283,0.13431,0.03966,2.18438,3.17269,2.34662,0.001208,0.001208,0.001208
42,592.057,0.49369,0.37431,0.96298,0.45373,0.61417,0.46866,0.19265,1.9289,1.82176,2.32915,0.0011882,0.0011882,0.0011882
43,606.524,0.4792,0.35629,0.95695,0.46569,0.51969,0.49788,0.24517,1.8268,2.27422,2.25456,0.0011684,0.0011684,0.0011684
44,621.606,0.47415,0.35623,0.9636,0.76587,0.70079,0.78264,0.56059,1.06604,1.68974,1.47454,0.0011486,0.0011486,0.0011486
45,639.673,0.47744,0.34786,0.94958,0.57765,0.70866,0.6861,0.45124,1.28386,2.23612,1.58901,0.0011288,0.0011288,0.0011288
46,655.823,0.49473,0.35422,0.97094,0.58359,0.74016,0.68582,0.47386,1.15029,1.75365,1.50279,0.001109,0.001109,0.001109
47,670.776,0.45344,0.35664,0.9562,0.74546,0.64569,0.76362,0.49385,1.24256,1.26261,1.63895,0.0010892,0.0010892,0.0010892
48,685.148,0.46147,0.35641,0.95544,0.76708,0.77796,0.83633,0.50531,1.3072,1.08505,1.87852,0.0010694,0.0010694,0.0010694
49,699.507,0.47344,0.34622,0.96833,0.56736,0.56794,0.57602,0.19002,2.30737,2.1061,2.63095,0.0010496,0.0010496,0.0010496
50,714.082,0.46224,0.34829,0.96943,0.60259,0.58504,0.59956,0.18009,2.22375,1.7258,2.44457,0.0010298,0.0010298,0.0010298
51,728.574,0.46081,0.33598,0.97097,0.81241,0.71611,0.81013,0.41713,1.56372,1.19301,1.86026,0.00101,0.00101,0.00101
52,742.891,0.46667,0.3517,0.95471,0.85587,0.72441,0.83865,0.49243,1.35742,1.02917,1.7735,0.0009902,0.0009902,0.0009902
53,757.367,0.45047,0.41579,0.94672,0.70641,0.76378,0.77737,0.486,1.1852,1.19268,1.68132,0.0009704,0.0009704,0.0009704
54,771.736,0.46326,0.33855,0.95812,0.66973,0.85827,0.79566,0.53183,1.10917,1.35341,1.69727,0.0009506,0.0009506,0.0009506
55,786.204,0.45126,0.32412,0.96177,0.77009,0.7385,0.82904,0.45113,1.42707,1.05653,1.84617,0.0009308,0.0009308,0.0009308
56,800.711,0.44851,0.33198,0.94714,0.42512,0.41732,0.38963,0.13383,1.97137,2.31339,2.18553,0.000911,0.000911,0.000911
57,818.398,0.43476,0.31726,0.93984,0.18998,0.48819,0.16946,0.05647,2.0705,3.34053,2.31145,0.0008912,0.0008912,0.0008912
