epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.515,1.67097,4.28802,1.06531,0.6591,0.56571,0.62166,0.29079,1.65447,2.67909,1.00237,0.000656085,0.000656085,0.000656085
2,451.557,1.64471,1.43159,1.09122,0.77298,0.63429,0.72219,0.37138,1.58377,2.02567,1.05473,0.00129656,0.00129656,0.00129656
3,673.904,1.63911,1.30013,1.0838,0.76412,0.53714,0.65363,0.31035,1.76976,1.4307,1.12925,0.00191064,0.00191064,0.00191064
4,896.206,1.60977,1.26617,1.07547,0.76137,0.6746,0.76561,0.37609,1.56343,1.29147,1.02843,0.0018812,0.0018812,0.0018812
5,1120.18,1.53631,1.13914,1.02359,0.71326,0.76571,0.81415,0.45092,1.47885,1.08968,1.02013,0.0018416,0.0018416,0.0018416
6,1340.15,1.49012,0.91737,1.03864,0.78255,0.79429,0.83538,0.43216,1.49932,0.89921,0.99606,0.001802,0.001802,0.001802
7,1556.99,1.47584,0.92009,1.01164,0.76538,0.74286,0.79782,0.41429,1.47987,1.43876,0.98028,0.0017624,0.0017624,0.0017624
8,1772.28,1.45353,0.92573,1.03339,0.73791,0.75618,0.81093,0.39318,1.4826,1.0517,0.98227,0.0017228,0.0017228,0.0017228
9,1988.17,1.5033,0.95384,1.02302,0.80878,0.67429,0.80308,0.45829,1.39015,0.95243,0.98187,0.0016832,0.0016832,0.0016832
10,2203.75,1.35471,0.82109,1.00702,0.90548,0.86286,0.92021,0.4832,1.44902,0.77853,0.98896,0.0016436,0.0016436,0.0016436
11,2422.17,1.40959,0.84933,1.00207,0.82055,0.84,0.8702,0.44565,1.46498,0.92013,1.00609,0.001604,0.001604,0.001604
12,2640.76,1.31235,0.75466,0.96896,0.90547,0.82105,0.88902,0.48544,1.45512,0.7781,1.02591,0.0015644,0.0015644,0.0015644
13,2860.16,1.36012,0.82375,1.00046,0.84118,0.78857,0.87188,0.44637,1.47448,0.90605,0.98725,0.0015248,0.0015248,0.0015248
14,3079.87,1.33903,0.80201,1.00642,0.94794,0.72843,0.86491,0.49244,1.42932,0.84552,0.99459,0.0014852,0.0014852,0.0014852
15,3299.83,1.29516,0.75821,0.97199,0.86367,0.88571,0.92981,0.52437,1.37931,0.72058,0.99444,0.0014456,0.0014456,0.0014456
16,3524.16,1.25996,0.72853,0.9458,0.83966,0.85714,0.89348,0.49223,1.38402,0.83215,0.96983,0.001406,0.001406,0.001406
17,3749.29,1.25555,0.72058,0.95488,0.92308,0.7543,0.86983,0.50385,1.41695,0.88873,0.99818,0.0013664,0.0013664,0.0013664
18,3972.59,1.23627,0.67159,0.97225,0.84199,0.72,0.82417,0.4218,1.49924,0.74805,0.99788,0.0013268,0.0013268,0.0013268
19,4193.21,1.26006,0.69987,0.95201,0.8997,0.88,0.92633,0.51128,1.3909,0.6784,0.99202,0.0012872,0.0012872,0.0012872
20,4411.92,1.20738,0.68507,0.96424,0.9367,0.88,0.93466,0.50648,1.41217,0.65399,0.96804,0.0012476,0.0012476,0.0012476
21,4629.61,1.20517,0.65706,0.95104,0.89009,0.87924,0.91727,0.50929,1.31155,0.68072,0.95541,0.001208,0.001208,0.001208
22,4847.94,1.23132,0.65085,0.9557,0.8866,0.83429,0.90895,0.51499,1.35692,0.73795,0.96502,0.0011684,0.0011684,0.0011684
23,5067.89,1.30551,0.71066,0.9545,0.93038,0.8,0.91181,0.52964,1.40064,0.76145,1.00382,0.0011288,0.0011288,0.0011288
24,5288.23,1.21297,0.64784,0.94838,0.8674,0.82286,0.87152,0.44148,1.48468,0.77518,0.9957,0.0010892,0.0010892,0.0010892
25,5508.49,1.20434,0.62588,0.97078,0.95445,0.8381,0.92869,0.53227,1.33736,0.66658,0.95748,0.0010496,0.0010496,0.0010496
26,5729,1.162,0.6191,0.91691,0.95063,0.86286,0.94211,0.55607,1.29566,0.62811,0.9611,0.00101,0.00101,0.00101
27,5950.23,1.11153,0.5731,0.91632,0.89097,0.83429,0.88516,0.47586,1.34814,0.67147,0.96904,0.0009704,0.0009704,0.0009704
28,6172.62,1.13206,0.6017,0.90997,0.93097,0.90857,0.95063,0.51771,1.3421,0.64547,0.94922,0.0009308,0.0009308,0.0009308
29,6396.82,1.1396,0.58852,0.93029,0.85779,0.89143,0.92268,0.52034,1.31554,0.64166,0.96419,0.0008912,0.0008912,0.0008912
30,6622.64,1.12657,0.59288,0.93828,0.8969,0.85714,0.90582,0.52693,1.34523,0.66019,0.98342,0.0008516,0.0008516,0.0008516
