epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.016,1.07794,2.00928,1.36315,0.09404,0.9313,0.64843,0.43761,1.28809,3.52278,1.52514,0.0006,0.0006,0.0006
2,247.256,0.73532,1.14931,1.10412,0.8793,0.88983,0.95613,0.71566,0.84091,2.23035,1.17177,0.00119584,0.00119584,0.00119584
3,363.917,0.7585,1.06081,1.10104,0.35797,0.71756,0.36397,0.20807,1.22214,3.27819,1.51635,0.00176714,0.00176714,0.00176714
4,480.098,0.77066,1.0113,1.10211,0.57752,0.64697,0.62194,0.38925,1.23946,4.03346,1.6903,0.0018812,0.0018812,0.0018812
5,595.409,0.75457,0.92265,1.11465,0.68201,0.83501,0.80704,0.60235,0.89447,2.28705,1.30365,0.0018416,0.0018416,0.0018416
6,711.364,0.70454,0.81823,1.07829,0.95519,0.98473,0.99063,0.75282,0.87477,1.38396,1.14112,0.001802,0.001802,0.001802
7,827.295,0.69558,0.74792,1.04417,0.81851,0.92366,0.93705,0.37826,1.92657,2.39084,2.15471,0.0017624,0.0017624,0.0017624
8,943.216,0.64188,0.69499,1.03156,0.95764,0.98473,0.99294,0.79881,0.68392,1.04493,1.03366,0.0017228,0.0017228,0.0017228
9,1058.89,0.668,0.69425,1.03008,0.98934,0.9771,0.9935,0.83677,0.65812,0.80101,0.96744,0.0016832,0.0016832,0.0016832
10,1174.77,0.63265,0.63131,1.01813,0.65619,0.66412,0.74133,0.39296,1.68476,1.7097,1.76367,0.0016436,0.0016436,0.0016436
11,1290.48,0.61194,0.58251,1.01414,0.90138,0.97684,0.97041,0.80841,0.64751,0.855,1.02363,0.001604,0.001604,0.001604
12,1406.08,0.56429,0.55208,1.00382,0.98489,0.99534,0.99431,0.86039,0.61053,0.78468,1.02466,0.0015644,0.0015644,0.0015644
13,1521.88,0.56988,0.53914,0.99273,0.95368,0.9542,0.98904,0.87916,0.5231,0.72184,0.88103,0.0015248,0.0015248,0.0015248
14,1638.16,0.59007,0.52839,0.98589,0.99445,0.99237,0.995,0.90303,0.46372,0.54737,0.81384,0.0014852,0.0014852,0.0014852
15,1754.1,0.5442,0.50805,0.97949,0.94155,0.98365,0.99071,0.89189,0.48861,0.64002,0.86386,0.0014456,0.0014456,0.0014456
16,1870.54,0.53762,0.50117,0.98038,0.99201,1,0.995,0.8987,0.47128,0.44917,0.83625,0.001406,0.001406,0.001406
17,1987.22,0.53848,0.5008,0.98229,0.99844,1,0.995,0.87978,0.49749,0.50779,0.82403,0.0013664,0.0013664,0.0013664
18,2103.69,0.48726,0.44495,0.96503,0.9974,1,0.995,0.89772,0.45134,0.50135,0.80829,0.0013268,0.0013268,0.0013268
