epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8729,1.94346,20.8025,1.08455,0.72841,0.71091,0.7365,0.36994,1.92968,1.53916,1.13472,0.00066335,0.00066335,0.00066335
2,78.9177,1.93271,1.99723,1.09403,0.80325,0.56627,0.66273,0.3556,2.00263,1.65281,1.16563,0.00131685,0.00131685,0.00131685
3,115.57,1.89085,1.85958,1.08013,0.6849,0.60233,0.52634,0.24624,1.90761,1.6008,1.10645,0.00195715,0.00195715,0.00195715
4,152.612,1.84487,1.78853,1.06013,0.77922,0.6747,0.68609,0.32752,1.92109,1.80587,1.11549,0.0019406,0.0019406,0.0019406
5,189.399,1.88312,1.6424,1.07727,0.74205,0.66265,0.72236,0.38065,1.82674,1.34392,1.12966,0.0019208,0.0019208,0.0019208
6,226.831,1.86402,1.51402,1.08476,0.80962,0.71084,0.74512,0.37554,1.74759,1.42935,1.05628,0.001901,0.001901,0.001901
7,265.316,1.78753,1.50547,1.0586,0.77172,0.62651,0.74564,0.39227,1.69393,1.25244,1.06591,0.0018812,0.0018812,0.0018812
8,303.337,1.72487,1.37986,1.04748,0.84264,0.72289,0.78247,0.39704,1.65216,1.44194,1.03048,0.0018614,0.0018614,0.0018614
9,341.375,1.82173,1.41538,1.05573,0.93458,0.71084,0.80803,0.43611,1.64283,1.25538,1.03755,0.0018416,0.0018416,0.0018416
10,379.239,1.6668,1.27114,1.01077,0.88228,0.77108,0.83642,0.43418,1.73574,1.1057,1.05892,0.0018218,0.0018218,0.0018218
11,417.004,1.68204,1.26431,1.01602,0.92378,0.73015,0.80081,0.4405,1.64226,1.22326,1.02716,0.001802,0.001802,0.001802
12,455.054,1.66931,1.21367,1.01322,0.85031,0.6506,0.71639,0.37608,1.79543,1.31084,1.09719,0.0017822,0.0017822,0.0017822
13,493.091,1.6531,1.22455,1.01271,0.91894,0.6747,0.75274,0.39563,1.67563,1.25829,1.03778,0.0017624,0.0017624,0.0017624
14,530.978,1.6278,1.17661,1.02445,0.85671,0.79518,0.83374,0.46023,1.63894,1.2,1.03971,0.0017426,0.0017426,0.0017426
15,568.867,1.57531,1.14652,0.97508,0.86373,0.76372,0.80848,0.438,1.60481,1.15498,1.00831,0.0017228,0.0017228,0.0017228
16,607.16,1.54879,1.11568,0.96648,0.92765,0.77237,0.8529,0.45335,1.64647,1.1603,1.03666,0.001703,0.001703,0.001703
17,644.428,1.61066,1.12686,0.99313,0.89891,0.74995,0.83544,0.43906,1.59844,1.04994,1.0257,0.0016832,0.0016832,0.0016832
18,682.841,1.59766,1.14,0.99211,0.92779,0.77405,0.86404,0.44694,1.60745,0.98739,1.02449,0.0016634,0.0016634,0.0016634
19,720.637,1.60171,1.13373,0.97958,0.89255,0.70062,0.80792,0.44962,1.58271,1.14459,1.04182,0.0016436,0.0016436,0.0016436
20,758.738,1.52638,1.05754,0.97857,0.92967,0.79637,0.87168,0.4895,1.45069,0.99764,0.99829,0.0016238,0.0016238,0.0016238
21,796.53,1.46146,1.01206,0.96027,0.9065,0.75904,0.84682,0.47272,1.54302,1.01564,0.99791,0.001604,0.001604,0.001604
22,834.585,1.49579,0.9871,0.96074,0.89941,0.83133,0.89314,0.48197,1.63621,0.93303,1.01591,0.0015842,0.0015842,0.0015842
23,872.209,1.49909,1.02813,0.95428,0.88212,0.81143,0.86404,0.47337,1.55079,0.96905,1.00763,0.0015644,0.0015644,0.0015644
24,910.205,1.55493,1.01119,0.98228,0.87414,0.74699,0.81689,0.4838,1.49241,1.09389,0.98183,0.0015446,0.0015446,0.0015446
25,948.581,1.52493,1.00068,0.97103,0.91351,0.76353,0.84546,0.45477,1.62066,1.06962,1.03284,0.0015248,0.0015248,0.0015248
26,989.224,1.5345,1.007,0.96818,0.8915,0.792,0.85799,0.46681,1.58843,1.04714,1.00993,0.001505,0.001505,0.001505
27,1030.19,1.50158,1.02163,0.97551,0.98546,0.81661,0.87234,0.49759,1.59083,1.00836,1.01005,0.0014852,0.0014852,0.0014852
28,1070.84,1.51999,0.9839,0.96041,0.91566,0.78481,0.85523,0.48177,1.64311,1.05122,1.01866,0.0014654,0.0014654,0.0014654
29,1111.81,1.48603,0.95336,0.9704,0.93239,0.77108,0.84745,0.47286,1.59749,0.99462,1.03553,0.0014456,0.0014456,0.0014456
30,1152.51,1.47446,0.88616,0.95753,0.95811,0.82674,0.91563,0.5208,1.48894,0.84505,0.98687,0.0014258,0.0014258,0.0014258
31,1193.34,1.44115,0.91609,0.94307,0.93203,0.84337,0.89286,0.52465,1.47155,0.89862,0.98237,0.001406,0.001406,0.001406
32,1233.89,1.4271,0.91419,0.9447,0.82849,0.80723,0.86002,0.48079,1.59648,1.00864,1.03493,0.0013862,0.0013862,0.0013862
33,1274.9,1.45387,0.89653,0.96262,0.93078,0.73494,0.83927,0.5081,1.55408,1.06269,0.99445,0.0013664,0.0013664,0.0013664
34,1315.23,1.42479,0.86326,0.95819,0.9126,0.80723,0.87883,0.5035,1.56325,0.87985,1.00692,0.0013466,0.0013466,0.0013466
35,1356.44,1.45862,0.87593,0.94912,0.93106,0.79518,0.88068,0.52586,1.46183,0.8899,0.98267,0.0013268,0.0013268,0.0013268
36,1396.93,1.4514,0.88926,0.95287,0.90959,0.80723,0.88258,0.50012,1.48581,0.89254,0.98998,0.001307,0.001307,0.001307
37,1438.24,1.46659,0.8995,0.94139,0.99532,0.79518,0.89826,0.50127,1.57798,0.87191,0.99908,0.0012872,0.0012872,0.0012872
38,1478.94,1.40786,0.83429,0.92013,0.95601,0.7855,0.91055,0.50254,1.50711,0.89262,0.99372,0.0012674,0.0012674,0.0012674
39,1520.24,1.38524,0.87767,0.9538,0.97243,0.80723,0.89069,0.53017,1.45703,0.86355,0.975,0.0012476,0.0012476,0.0012476
40,1561.22,1.40023,0.80285,0.94139,0.94631,0.80723,0.91412,0.5395,1.48913,0.76469,0.98522,0.0012278,0.0012278,0.0012278
41,1602.38,1.39779,0.87345,0.93056,0.89005,0.79518,0.85202,0.49493,1.49754,1.05408,0.98548,0.001208,0.001208,0.001208
42,1643.64,1.40251,0.87246,0.93512,0.98493,0.78766,0.90709,0.51695,1.46898,0.89953,0.9723,0.0011882,0.0011882,0.0011882
43,1685.06,1.3517,0.8176,0.94129,0.95048,0.84337,0.92188,0.5364,1.46095,0.77759,0.98301,0.0011684,0.0011684,0.0011684
44,1725.64,1.38123,0.77656,0.93133,0.9472,0.86451,0.92377,0.55117,1.3785,0.76598,0.96406,0.0011486,0.0011486,0.0011486
45,1766.99,1.32117,0.7504,0.9169,0.9328,0.83622,0.89401,0.5499,1.3817,0.84874,0.97432,0.0011288,0.0011288,0.0011288
46,1807.94,1.36985,0.78243,0.91317,0.92147,0.81928,0.90699,0.5575,1.46072,0.84582,0.97289,0.001109,0.001109,0.001109
